,Date,gain,total_gain
582,2022-10-28,10.400000000000091,1680.0999999999967
585,2022-10-31,-26.300000000000068,1653.7999999999965
586,2022-11-01,-5.900000000000091,1647.8999999999965
587,2022-11-02,3.0,1650.8999999999965
588,2022-11-03,-19.799999999999955,1631.0999999999965
589,2022-11-04,-37.10000000000002,1593.9999999999964
592,2022-11-07,32.10000000000002,1626.0999999999963
593,2022-11-08,22.100000000000023,1648.1999999999962
594,2022-11-09,-13.100000000000023,1635.0999999999963
595,2022-11-10,24.699999999999932,1659.799999999996
596,2022-11-11,25.100000000000023,1684.899999999996
599,2022-11-14,-5.899999999999977,1678.999999999996
600,2022-11-15,-15.400000000000091,1663.5999999999958
601,2022-11-16,62.39999999999998,1725.999999999996
602,2022-11-17,15.0,1740.999999999996
603,2022-11-18,-0.10000000000002274,1740.899999999996
606,2022-11-21,11.100000000000023,1751.999999999996
607,2022-11-22,-12.199999999999932,1739.799999999996
608,2022-11-23,20.799999999999955,1760.599999999996
609,2022-11-24,14.899999999999977,1775.499999999996
610,2022-11-25,-12.199999999999932,1763.299999999996
613,2022-11-28,24.800000000000068,1788.0999999999963
614,2022-11-29,22.0,1810.0999999999963
615,2022-11-30,12.399999999999864,1822.4999999999961
616,2022-12-01,1.1000000000001364,1823.5999999999963
617,2022-12-02,72.59999999999991,1896.1999999999962
620,2022-12-05,-9.5,1886.6999999999962
621,2022-12-06,42.799999999999955,1929.4999999999961
622,2022-12-07,-1.7999999999999545,1927.6999999999962
623,2022-12-08,1.7000000000000455,1929.3999999999962
624,2022-12-09,-4.599999999999909,1924.7999999999963
627,2022-12-12,23.800000000000182,1948.5999999999965
628,2022-12-13,-27.200000000000045,1921.3999999999965
629,2022-12-14,1.900000000000091,1923.2999999999965
630,2022-12-15,5.5,1928.7999999999965
631,2022-12-16,-10.5,1918.2999999999965
634,2022-12-19,-15.0,1903.2999999999965
635,2022-12-20,-9.599999999999909,1893.6999999999966
636,2022-12-21,-10.599999999999909,1883.0999999999967
637,2022-12-22,3.3999999999998636,1886.4999999999966
638,2022-12-23,-18.000000000000227,1868.4999999999964
641,2022-12-26,30.90000000000009,1899.3999999999965
642,2022-12-27,-5.999999999999886,1893.3999999999965
643,2022-12-28,-16.399999999999977,1876.9999999999964
644,2022-12-29,-15.0,1861.9999999999964
645,2022-12-30,-1.2999999999999545,1860.6999999999964
648,2023-01-02,0.0,1860.6999999999964
649,2023-01-03,41.09999999999991,1901.7999999999963
650,2023-01-04,-2.8999999999998636,1898.8999999999965
